"","Table","Model","Variable","Hazard Ratio"
"1","3","1.1 Female","Baseline BMD","0.18 (0.03-1.05, p=0.056)"
"2","3","1.1 Female","Age at Baseline Visit","1.16 (1.11-1.20, p<0.001)"
"3","3","1.1 Female","≥1 APOE ε4 allele","1.76 (1.12-2.75, p=0.014)"
"4","3","1.1 Female","BMI at Baseline Visit","0.96 (0.92-1.01, p=0.120)"
"5","3","1.1 Female","EducationGroupHS","1.41 (0.85-2.34, p=0.190)"
"6","3","1.1 Female","EducationGroupMissing","1.65 (0.94-2.87, p=0.079)"
"7","3","1.1 Male","Baseline BMD","1.55 (0.25-9.53, p=0.640)"
"8","3","1.1 Male","Age at Baseline Visit","1.17 (1.12-1.22, p<0.001)"
"9","3","1.1 Male","≥1 APOE ε4 allele","1.37 (0.75-2.48, p=0.300)"
"10","3","1.1 Male","BMI at Baseline Visit","0.98 (0.92-1.05, p=0.610)"
"11","3","1.1 Male","EducationGroupHS","1.18 (0.65-2.17, p=0.580)"
"12","3","1.1 Male","EducationGroupMissing","1.30 (0.67-2.51, p=0.440)"
"13","3","1.2 Female","BMD_tscore","0.79 (0.61-1.01, p=0.056)"
"14","3","1.2 Female","Age at Baseline Visit","1.16 (1.11-1.20, p<0.001)"
"15","3","1.2 Female","≥1 APOE ε4 allele","1.76 (1.12-2.75, p=0.014)"
"16","3","1.2 Female","BMI at Baseline Visit","0.96 (0.92-1.01, p=0.120)"
"17","3","1.2 Female","EducationGroupHS","1.41 (0.85-2.34, p=0.190)"
"18","3","1.2 Female","EducationGroupMissing","1.65 (0.94-2.87, p=0.079)"
"19","3","1.2 Male","BMD_tscore","1.06 (0.83-1.37, p=0.640)"
"20","3","1.2 Male","Age at Baseline Visit","1.17 (1.12-1.22, p<0.001)"
"21","3","1.2 Male","≥1 APOE ε4 allele","1.37 (0.75-2.48, p=0.300)"
"22","3","1.2 Male","BMI at Baseline Visit","0.98 (0.92-1.05, p=0.610)"
"23","3","1.2 Male","EducationGroupHS","1.18 (0.65-2.17, p=0.580)"
"24","3","1.2 Male","EducationGroupMissing","1.30 (0.67-2.51, p=0.440)"
"25","3","1.3 Female","Bone Loss","1.31 (1.08-1.57, p=0.005)"
"26","3","1.3 Female","Age at Baseline Visit","1.17 (1.13-1.21, p<0.001)"
"27","3","1.3 Female","≥1 APOE ε4 allele","1.73 (1.10-2.73, p=0.018)"
"28","3","1.3 Female","BMI at Baseline Visit","0.95 (0.91-1.00, p=0.036)"
"29","3","1.3 Female","EducationGroupHS","1.46 (0.87-2.43, p=0.150)"
"30","3","1.3 Female","EducationGroupMissing","1.65 (0.94-2.88, p=0.082)"
"31","3","1.3 Male","Bone Loss","1.30 (1.00-1.67, p=0.048)"
"32","3","1.3 Male","Age at Baseline Visit","1.17 (1.12-1.22, p<0.001)"
"33","3","1.3 Male","≥1 APOE ε4 allele","1.45 (0.80-2.63, p=0.220)"
"34","3","1.3 Male","BMI at Baseline Visit","0.99 (0.93-1.06, p=0.770)"
"35","3","1.3 Male","EducationGroupHS","1.22 (0.67-2.24, p=0.520)"
"36","3","1.3 Male","EducationGroupMissing","1.24 (0.65-2.39, p=0.510)"
"37","3","2.1 Female","Bone Loss Q2 (-0.299,0.218]","1.06 (0.57-2.00, p=0.850)"
"38","3","2.1 Female","Bone Loss Q3 (0.218,0.779]","1.63 (0.89-2.99, p=0.110)"
"39","3","2.1 Female","Bone Loss Q4 (0.779,4.86]","2.35 (1.36-4.06, p=0.002)"
"40","3","2.1 Female","Age at Baseline Visit","1.17 (1.13-1.21, p<0.001)"
"41","3","2.1 Female","≥1 APOE ε4 allele","1.80 (1.14-2.82, p=0.011)"
"42","3","2.1 Female","BMI at Baseline Visit","0.96 (0.92-1.00, p=0.044)"
"43","3","2.1 Female","EducationGroupHS","1.49 (0.89-2.48, p=0.130)"
"44","3","2.1 Female","EducationGroupMissing","1.64 (0.95-2.85, p=0.078)"
"45","3","2.1 Male","Bone Loss Q2 (-0.299,0.218]","1.65 (0.80-3.42, p=0.180)"
"46","3","2.1 Male","Bone Loss Q3 (0.218,0.779]","1.08 (0.49-2.37, p=0.860)"
"47","3","2.1 Male","Bone Loss Q4 (0.779,4.86]","2.39 (1.21-4.75, p=0.013)"
"48","3","2.1 Male","Age at Baseline Visit","1.17 (1.12-1.22, p<0.001)"
"49","3","2.1 Male","≥1 APOE ε4 allele","1.43 (0.79-2.57, p=0.240)"
"50","3","2.1 Male","BMI at Baseline Visit","0.99 (0.93-1.06, p=0.850)"
"51","3","2.1 Male","EducationGroupHS","1.19 (0.66-2.16, p=0.570)"
"52","3","2.1 Male","EducationGroupMissing","1.28 (0.67-2.44, p=0.450)"
"53","3","2.2 Female","Bone LossQ4","1.95 (1.29-2.95, p=0.002)"
"54","3","2.2 Female","Age at Baseline Visit","1.17 (1.13-1.21, p<0.001)"
"55","3","2.2 Female","≥1 APOE ε4 allele","1.79 (1.14-2.80, p=0.011)"
"56","3","2.2 Female","BMI at Baseline Visit","0.96 (0.92-1.00, p=0.039)"
"57","3","2.2 Female","EducationGroupHS","1.47 (0.89-2.45, p=0.140)"
"58","3","2.2 Female","EducationGroupMissing","1.65 (0.95-2.87, p=0.075)"
"59","3","2.2 Male","Bone LossQ4","1.97 (1.17-3.32, p=0.011)"
"60","3","2.2 Male","Age at Baseline Visit","1.17 (1.12-1.22, p<0.001)"
"61","3","2.2 Male","≥1 APOE ε4 allele","1.48 (0.82-2.67, p=0.190)"
"62","3","2.2 Male","BMI at Baseline Visit","0.99 (0.93-1.06, p=0.830)"
"63","3","2.2 Male","EducationGroupHS","1.19 (0.66-2.17, p=0.560)"
"64","3","2.2 Male","EducationGroupMissing","1.26 (0.66-2.39, p=0.490)"
"65","3","2.3 Female","as.numeric(Bone Loss )","1.36 (1.14-1.62, p=0.001)"
"66","3","2.3 Female","Age at Baseline Visit","1.17 (1.13-1.21, p<0.001)"
"67","3","2.3 Female","≥1 APOE ε4 allele","1.77 (1.13-2.77, p=0.013)"
"68","3","2.3 Female","BMI at Baseline Visit","0.95 (0.91-1.00, p=0.036)"
"69","3","2.3 Female","EducationGroupHS","1.50 (0.90-2.49, p=0.120)"
"70","3","2.3 Female","EducationGroupMissing","1.66 (0.96-2.88, p=0.072)"
"71","3","2.3 Male","as.numeric(Bone Loss )","1.27 (1.02-1.58, p=0.036)"
"72","3","2.3 Male","Age at Baseline Visit","1.17 (1.12-1.23, p<0.001)"
"73","3","2.3 Male","≥1 APOE ε4 allele","1.44 (0.80-2.60, p=0.230)"
"74","3","2.3 Male","BMI at Baseline Visit","0.99 (0.93-1.06, p=0.810)"
"75","3","2.3 Male","EducationGroupHS","1.21 (0.66-2.21, p=0.530)"
"76","3","2.3 Male","EducationGroupMissing","1.24 (0.65-2.37, p=0.520)"
"77","3","3 Female","Baseline BMD","0.45 (0.06-3.21, p=0.420)"
"78","3","3 Female","Age at Baseline Visit","1.16 (1.12-1.20, p<0.001)"
"79","3","3 Female","≥1 APOE ε4 allele","1.74 (1.11-2.75, p=0.017)"
"80","3","3 Female","BMI at Baseline Visit","0.96 (0.92-1.00, p=0.076)"
