"","Table","Model","Variable","Hazard Ratio"
"1","2","1.1","Baseline BMD","0.47 (0.13-1.69, p=0.250)"
"2","2","1.1","Age at Baseline Visit","1.16 (1.13-1.20, p<0.001)"
"3","2","1.1","≥1 APOE ε4 allele","1.66 (1.16-2.37, p=0.006)"
"4","2","1.1","BMI at Baseline Visit","0.97 (0.93-1.00, p=0.083)"
"5","2","1.1","EducationGroupHS","1.36 (0.92-2.00, p=0.120)"
"6","2","1.1","EducationGroupMissing","1.54 (1.01-2.36, p=0.045)"
"7","2","1.1","Male","1.07 (0.74-1.55, p=0.720)"
"8","2","1.2","BMD_tscore","0.90 (0.75-1.08, p=0.250)"
"9","2","1.2","Age at Baseline Visit","1.16 (1.13-1.20, p<0.001)"
"10","2","1.2","≥1 APOE ε4 allele","1.66 (1.16-2.37, p=0.006)"
"11","2","1.2","BMI at Baseline Visit","0.97 (0.93-1.00, p=0.083)"
"12","2","1.2","EducationGroupHS","1.36 (0.92-2.00, p=0.120)"
"13","2","1.2","EducationGroupMissing","1.54 (1.01-2.36, p=0.045)"
"14","2","1.2","Male","1.07 (0.74-1.55, p=0.720)"
"15","2","1.3","Bone Loss","1.30 (1.12-1.51, p=0.001)"
"16","2","1.3","Age at Baseline Visit","1.17 (1.13-1.20, p<0.001)"
"17","2","1.3","≥1 APOE ε4 allele","1.65 (1.15-2.37, p=0.006)"
"18","2","1.3","BMI at Baseline Visit","0.96 (0.93-1.00, p=0.050)"
"19","2","1.3","EducationGroupHS","1.38 (0.93-2.04, p=0.110)"
"20","2","1.3","EducationGroupMissing","1.49 (0.97-2.29, p=0.067)"
"21","2","1.3","Male","0.98 (0.71-1.35, p=0.890)"
"22","2","2.1","Bone Loss Q2 (-0.299,0.218]","1.25 (0.78-2.02, p=0.360)"
"23","2","2.1","Bone Loss Q3 (0.218,0.779]","1.37 (0.85-2.22, p=0.190)"
"24","2","2.1","Bone Loss Q4 (0.779,4.86]","2.33 (1.52-3.58, p<0.001)"
"25","2","2.1","Age at Baseline Visit","1.17 (1.13-1.20, p<0.001)"
"26","2","2.1","≥1 APOE ε4 allele","1.68 (1.17-2.41, p=0.005)"
"27","2","2.1","BMI at Baseline Visit","0.97 (0.93-1.00, p=0.057)"
"28","2","2.1","EducationGroupHS","1.39 (0.94-2.05, p=0.099)"
"29","2","2.1","EducationGroupMissing","1.49 (0.98-2.27, p=0.064)"
"30","2","2.1","Male","0.99 (0.71-1.36, p=0.930)"
"31","2","2.2","Bone LossQ4","1.95 (1.41-2.71, p<0.001)"
"32","2","2.2","Age at Baseline Visit","1.16 (1.13-1.20, p<0.001)"
"33","2","2.2","≥1 APOE ε4 allele","1.70 (1.19-2.43, p=0.004)"
"34","2","2.2","BMI at Baseline Visit","0.97 (0.93-1.00, p=0.060)"
"35","2","2.2","EducationGroupHS","1.38 (0.93-2.03, p=0.110)"
"36","2","2.2","EducationGroupMissing","1.50 (0.98-2.28, p=0.061)"
"37","2","2.2","Male","0.99 (0.71-1.36, p=0.940)"
"38","2","2.3","as.numeric(Bone Loss )","1.32 (1.15-1.52, p<0.001)"
"39","2","2.3","Age at Baseline Visit","1.17 (1.14-1.20, p<0.001)"
"40","2","2.3","≥1 APOE ε4 allele","1.67 (1.17-2.39, p=0.005)"
"41","2","2.3","BMI at Baseline Visit","0.97 (0.93-1.00, p=0.055)"
"42","2","2.3","EducationGroupHS","1.39 (0.94-2.06, p=0.094)"
"43","2","2.3","EducationGroupMissing","1.50 (0.98-2.28, p=0.061)"
"44","2","2.3","Male","0.98 (0.71-1.35, p=0.890)"
"45","2","3","Baseline BMD","1.16 (0.29-4.61, p=0.840)"
"46","2","3","Age at Baseline Visit","1.17 (1.13-1.20, p<0.001)"
"47","2","3","≥1 APOE ε4 allele","1.65 (1.15-2.37, p=0.007)"
"48","2","3","BMI at Baseline Visit","0.96 (0.93-1.00, p=0.051)"
"49","2","3","EducationGroupHS","1.38 (0.93-2.05, p=0.100)"
"50","2","3","EducationGroupMissing","1.50 (0.97-2.31, p=0.065)"
"51","2","3","Bone Loss","1.31 (1.11-1.54, p=0.001)"
"52","2","3","Male","0.96 (0.66-1.40, p=0.820)"
